name,category_id,default_category,short_description,description,price,quantity,image_ref
Tote bag amandier,"19,23,44,72",19," Peint ? la main, d?cor original","100% coton , 200g/m?
couleur: ?cru naturel

Hauteur 42 cm
Largeur 39 cm
Hauteur anses 31cm",15,1,amandier
Tote bag chat,"19,23,44,72",19," Peint ? la main, d?cor original","100% coton , 200g/m?
couleur: ?cru naturel

Hauteur 42 cm
Largeur 39 cm
Hauteur anses 31cm",15,1,chat
Tote bag libellule,"19,23,44,72",19," Peint ? la main, d?cor original","100% coton , 200g/m?
couleur: ?cru naturel

Hauteur 42 cm
Largeur 39 cm
Hauteur anses 31cm",15,1,libellule
Tote bag ourson,"19,23,44,72",19," Peint ? la main, d?cor original","100% coton , 200g/m?
couleur: ?cru naturel

Hauteur 42 cm
Largeur 39 cm
Hauteur anses 31cm",15,1,ourson
Tote bag olivier,"19,23,44,72",19," Peint ? la main, d?cor original","100% coton , 200g/m?
couleur: ?cru naturel

Hauteur 42 cm
Largeur 39 cm
Hauteur anses 31cm",15,1,olivier
Tote bag plumes,"19,23,44,72",19," Peint ? la main, d?cor original","100% coton , 200g/m?
couleur: ?cru naturel

Hauteur 42 cm
Largeur 39 cm
Hauteur anses 31cm",15,1,plumes
